License_Number,Date,Activity,City_Name,County_Name
412866,8/8/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,FERRY
414884,8/17/2017 0:00,Marijuana Compliance Check-no Sale,SEATTLE,KING
412660,8/30/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,GRANT
413739,8/9/2017 0:00,Marijuana Premises Check,MILLWOOD,SPOKANE
422055,8/11/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,WHITMAN
423571,8/24/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
425416,5/15/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,GRANT
414181,8/24/2017 0:00,Marijuana Premises Check,SEQUIM,CLALLAM
415710,8/3/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
421642,8/5/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
421759,8/3/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
424257,8/18/2017 0:00,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,PIERCE
416824,5/3/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
412882,8/10/2017 0:00,Marijuana Premises Check,TUMWATER,THURSTON
417646,8/24/2017 0:00,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
414503,8/9/2017 0:00,Marijuana Premises Check,BREMERTON,KITSAP
81400,8/26/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,KITSAP
413803,8/31/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,KING
412869,2/10/2017 0:00,Marijuana Premises Check,VANCOUVER,CLARK
414823,8/9/2017 0:00,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
416824,8/16/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
416824,8/16/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
414533,8/5/2017 0:00,Marijuana Compliance Check-no Sale,SEATTLE,KING
423977,8/4/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
414256,8/19/2017 0:00,Marijuana Premises Check,BELLINGHAM,WHATCOM
414817,8/9/2017 0:00,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
413558,8/19/2017 0:00,Marijuana Premises Check,SEATTLE,KING
420908,8/8/2017 0:00,Marijuana Compliance Check-no Sale,UNINCORP. AREAS,WHATCOM
414225,8/30/2017 0:00,Marijuana Compliance Check-no Sale,PROSSER,BENTON
413893,8/17/2017 0:00,Marijuana Premises Check,RENTON,KING
416493,8/16/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
412548,2/29/2016 0:00,Marijuana Premises Check,BATTLE GROUND,CLARK
412205,9/15/2015 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
415873,8/17/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SPOKANE
424473,8/18/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
414211,8/10/2017 0:00,Marijuana Premises Check,CLARKSTON,ASOTIN
414817,8/6/2017 0:00,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
422097,8/28/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,STEVENS
82522,5/19/2015 0:00,Marijuana Premises Check,,
417053,8/15/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
417469,8/8/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,WHATCOM
412220,8/17/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SPOKANE
421409,8/7/2017 0:00,Marijuana Premises Check,SEATTLE,KING
425185,8/31/2017 0:00,Marijuana Premises Check,LACEY,THURSTON
416008,8/24/2017 0:00,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
414723,8/7/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
84130,8/16/2017 0:00,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,SNOHOMISH
83651,10/22/2015 0:00,Marijuana Premises Check,,
412977,5/19/2016 0:00,Marijuana Premises Check,UNINCORP. AREAS,SAN JUAN
422781,8/8/2017 0:00,Marijuana Premises Check,MOUNT VERNON,SKAGIT
421562,8/24/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
422525,8/4/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,CLALLAM
413773,8/1/2017 0:00,Marijuana Premises Check,UNION GAP,YAKIMA
421777,8/23/2017 0:00,Marijuana Premises Check,BELLEVUE,KING
416234,8/2/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SPOKANE
414277,8/30/2017 0:00,Marijuana Applicant Site Verification,UNINCORP. AREAS,KITSAP
423829,8/10/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
414101,8/2/2017 0:00,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
413586,8/25/2017 0:00,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
413886,8/23/2017 0:00,Marijuana Premises Check,BELLINGHAM,WHATCOM
414731,8/7/2017 0:00,Marijuana Premises Check,SEATTLE,KING
410798,8/2/2017 0:00,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
422037,8/15/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SKAGIT
415343,8/24/2017 0:00,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,MASON
414042,8/24/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
413729,8/8/2017 0:00,Marijuana Compliance Check-no Sale,FERNDALE,WHATCOM
416858,8/24/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,YAKIMA
410332,8/1/2017 0:00,Marijuana Premises Check,SEATTLE,KING
415343,8/8/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,MASON
421805,8/7/2017 0:00,Marijuana Premises Check,VANCOUVER,CLARK
421350,8/19/2017 0:00,Marijuana Premises Check,SEATTLE,KING
412205,3/3/2015 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
414749,8/8/2017 0:00,Marijuana Premises Check,FERNDALE,WHATCOM
424244,8/24/2017 0:00,Marijuana Premises Check,FIFE,PIERCE
421642,8/9/2017 0:00,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,SNOHOMISH
421805,8/25/2017 0:00,Marijuana Premises Check,VANCOUVER,CLARK
415526,7/13/2017 0:00,Marijuana Premises Check,LONGVIEW,COWLITZ
423203,8/25/2017 0:00,Marijuana Premises Check,RITZVILLE,ADAMS
412977,8/17/2016 0:00,Marijuana Premises Check,UNINCORP. AREAS,SAN JUAN
413994,8/28/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,FERRY
412408,8/18/2017 0:00,Marijuana Premises Check,SEATTLE,KING
82587,8/3/2017 0:00,Marijuana Premises Check,MILLWOOD,SPOKANE
413102,8/17/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
415333,8/17/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,KING
414868,8/9/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,KING
421738,8/30/2017 0:00,Marijuana Premises Check,OMAK,OKANOGAN
421667,8/9/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
413529,8/17/2017 0:00,Marijuana Premises Check,BELLINGHAM,WHATCOM
416926,8/31/2017 0:00,Marijuana Applicant Site Verification,SEATTLE,KING
414174,8/21/2017 0:00,Marijuana Premises Check,SEATTLE,KING
424381,8/25/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,WHATCOM
415449,8/10/2017 0:00,Marijuana Premises Check,LACEY,THURSTON
416527,8/30/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,GRAYS HARBOR
421490,8/7/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
414174,8/19/2017 0:00,Marijuana Premises Check,SEATTLE,KING
415325,8/1/2017 0:00,Marijuana Premises Check,SEATTLE,KING
417198,8/30/2017 0:00,Marijuana Premises Check,HOQUIAM,GRAYS HARBOR
415873,8/3/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SPOKANE
417880,8/27/2017 0:00,Marijuana Premises Check,PORT ORCHARD,KITSAP
420801,8/15/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SKAGIT
413912,8/18/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
416926,8/31/2017 0:00,Marijuana Premises Check,SEATTLE,KING
414983,8/23/2017 0:00,Marijuana Premises Check,BELLEVUE,KING
413372,8/7/2017 0:00,Marijuana Premises Check,SEATTLE,KING
415732,8/1/2017 0:00,Marijuana Premises Check,SEDRO WOOLLEY,SKAGIT
86219,12/21/2016 0:00,Marijuana Compliance Check-no Sale,,
423413,8/15/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
415303,8/1/2017 0:00,Marijuana Premises Check,YAKIMA,YAKIMA
425068,8/23/2017 0:00,Marijuana Compliance Check-no Sale,BELLEVUE,KING
413819,8/30/2017 0:00,Marijuana Premises Check,ARLINGTON,SNOHOMISH
423372,8/16/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
415694,8/16/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SPOKANE
413199,8/7/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
414550,8/10/2017 0:00,Marijuana Compliance Check-no Sale,PORT ORCHARD,KITSAP
423784,8/4/2017 0:00,Marijuana Premises Check,SHORELINE,KING
412239,8/16/2016 0:00,Marijuana Premises Check,EVERETT,SNOHOMISH
413813,8/7/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
421708,8/17/2017 0:00,Marijuana Compliance Check-no Sale,SEATTLE,KING
414749,8/8/2017 0:00,Marijuana Compliance Check-no Sale,FERNDALE,WHATCOM
413519,7/28/2017 0:00,Marijuana Premises Check,SEATTLE,KING
413813,8/29/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
413530,8/15/2017 0:00,Marijuana Compliance Check-no Sale,WINTHROP,OKANOGAN
421632,8/29/2017 0:00,Marijuana Premises Check,LACEY,THURSTON
414574,8/1/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SKAGIT
412066,8/28/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,STEVENS
414532,8/3/2017 0:00,Marijuana Premises Check,SEATTLE,KING
412639,8/22/2017 0:00,Marijuana Premises Check,BELLINGHAM,WHATCOM
422278,8/2/2017 0:00,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
422701,8/24/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,LINCOLN
423413,8/4/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
415429,8/10/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
425416,6/26/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,GRANT
423379,8/5/2017 0:00,Marijuana Premises Check,SEATTLE,KING
415504,8/5/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
414983,8/1/2017 0:00,Marijuana Premises Check,BELLEVUE,KING
413541,8/27/2017 0:00,Marijuana Premises Check,PORT ORCHARD,KITSAP
412494,8/22/2017 0:00,Marijuana Compliance Check-no Sale,AUBURN,KING
413374,8/15/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
414817,8/23/2017 0:00,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
415314,8/11/2017 0:00,Marijuana Premises Check,PULLMAN,WHITMAN
412977,9/16/2016 0:00,Marijuana Premises Check,UNINCORP. AREAS,SAN JUAN
416753,8/28/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,DOUGLAS
424858,8/22/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,KING
415253,8/23/2017 0:00,Marijuana Compliance Check-no Sale,BELLEVUE,KING
420941,8/11/2017 0:00,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
79013,8/17/2017 0:00,Marijuana Compliance Check-no Sale,SEATTLE,KING
413314,8/23/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,WHATCOM
413718,8/9/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
82587,8/17/2017 0:00,Marijuana Premises Check,MILLWOOD,SPOKANE
414160,7/28/2017 0:00,Marijuana Premises Check,SEATTLE,KING
415253,8/18/2017 0:00,Marijuana Premises Check,BELLEVUE,KING
416730,8/10/2017 0:00,Marijuana Premises Check,MOXEE,YAKIMA
415203,8/2/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,KING
415348,8/1/2017 0:00,Marijuana Premises Check,SEATTLE,KING
413700,8/15/2017 0:00,Marijuana Compliance Check-no Sale,UNINCORP. AREAS,OKANOGAN
414995,8/10/2017 0:00,Marijuana Compliance Check-no Sale,PULLMAN,WHITMAN
415130,8/28/2017 0:00,Marijuana Premises Check,OLYMPIA,THURSTON
415132,8/10/2017 0:00,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
422158,8/31/2017 0:00,Marijuana Premises Check,VANCOUVER,CLARK
415083,8/11/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
413846,8/2/2017 0:00,Marijuana Premises Check,LONGVIEW,COWLITZ
416893,8/29/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
413570,7/28/2017 0:00,Marijuana Premises Check,SEATTLE,KING
412247,8/23/2017 0:00,Marijuana Premises Check,EVERETT,SNOHOMISH
422777,8/21/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,ISLAND
423203,8/2/2017 0:00,Marijuana Premises Check,RITZVILLE,ADAMS
413798,8/3/2017 0:00,Marijuana Premises Check,OCEAN SHORES,GRAYS HARBOR
421813,8/23/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,WHATCOM
413596,8/12/2017 0:00,Marijuana Premises Check,UNION GAP,YAKIMA
413847,8/17/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
412849,8/29/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,GRAYS HARBOR
417880,8/10/2017 0:00,Marijuana Compliance Check-no Sale,PORT ORCHARD,KITSAP
415115,8/4/2017 0:00,Marijuana Premises Check,KENMORE,KING
414298,7/28/2017 0:00,Marijuana Premises Check,SEATTLE,KING
413729,8/8/2017 0:00,Marijuana Premises Check,FERNDALE,WHATCOM
417114,8/10/2017 0:00,Marijuana Compliance Check-no Sale,PULLMAN,WHITMAN
420285,8/14/2017 0:00,Marijuana Premises Check,SEATTLE,KING
417133,8/24/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,YAKIMA
423419,8/21/2017 0:00,Marijuana Premises Check,SEATTLE,KING
355804,8/15/2017 0:00,Marijuana Premises Check,LAKEWOOD,PIERCE
414491,8/22/2017 0:00,Marijuana Premises Check,COVINGTON,KING
421616,8/25/2017 0:00,Marijuana Premises Check,BELLINGHAM,WHATCOM
417214,8/23/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
414532,8/18/2017 0:00,Marijuana Premises Check,SEATTLE,KING
,8/31/2017 0:00,Marijuana Premises Check,BURIEN,KING
414864,7/31/2017 0:00,Marijuana Premises Check,MOSES LAKE,GRANT
359314,3/25/2015 0:00,Marijuana Premises Check,,
360-229-9195,3/14/2016 0:00,Marijuana Premises Check,,
413534,8/17/2017 0:00,Marijuana Premises Check,ANACORTES,SKAGIT
424273,8/31/2017 0:00,Marijuana Premises Check,CLE ELUM,KITTITAS
421876,8/15/2017 0:00,Marijuana Premises Check,SHORELINE,KING
412370,8/2/2017 0:00,Marijuana Premises Check,MOUNT VERNON,SKAGIT
354876,8/1/2017 0:00,Marijuana Premises Check,YAKIMA,YAKIMA
414174,8/16/2017 0:00,Marijuana Premises Check,SEATTLE,KING
416630,8/20/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,ADAMS
414042,8/29/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
413718,8/29/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
412760,8/1/2017 0:00,Marijuana Premises Check,AIRWAY HEIGHTS,SPOKANE
72413,8/8/2017 0:00,Marijuana Premises Check,DAVENPORT,LINCOLN
413428,7/28/2017 0:00,Marijuana Premises Check,SEATTLE,KING
414216,8/15/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,DOUGLAS
417513,8/21/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
421846,8/28/2017 0:00,Marijuana Premises Check,RICHLAND,BENTON
413174,8/21/2017 0:00,Marijuana Premises Check,SEATTLE,KING
417497,8/15/2017 0:00,Marijuana Premises Check,MOXEE,YAKIMA
421359,8/10/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,KITSAP
422745,8/17/2017 0:00,Marijuana Premises Check,BAINBRIDGE ISLAND,KITSAP
423829,8/10/2017 0:00,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,PIERCE
415031,8/16/2017 0:00,Marijuana Compliance Check-no Sale,MOUNTLAKE TERRACE,SNOHOMISH
414491,8/22/2017 0:00,Marijuana Compliance Check-no Sale,COVINGTON,KING
414569,8/17/2017 0:00,Marijuana Premises Check,SHORELINE,KING
415523,8/3/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,GRAYS HARBOR
362101,5/11/2016 0:00,Marijuana Premises Check,,
416893,8/18/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
414723,8/18/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
402039,8/3/2017 0:00,Marijuana Premises Check,SEATTLE,KING
363165,1/20/2017 0:00,Marijuana Premises Check,,
363823,11/19/2015 0:00,Marijuana Premises Check,,
415130,8/8/2017 0:00,Marijuana Premises Check,OLYMPIA,THURSTON
422290,8/14/2017 0:00,Marijuana Applicant Site Verification,LAKEWOOD,PIERCE
420123,8/31/2017 0:00,Marijuana Premises Check,FORKS,CLALLAM
414823,8/31/2017 0:00,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
417571,8/23/2017 0:00,Marijuana Premises Check,ARLINGTON,SNOHOMISH
421695,8/9/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,KING
420123,8/15/2017 0:00,Marijuana Premises Check,FORKS,CLALLAM
369480,7/17/2015 0:00,Marijuana Premises Check,,
413923,8/25/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,WHATCOM
422663,8/30/2017 0:00,Marijuana Premises Check,BELLEVUE,KING
412466,8/10/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,COWLITZ
416459,8/1/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,KLICKITAT
76189,8/28/2017 0:00,Marijuana Premises Check,IONE,PEND OREILLE
415001,8/3/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,GRAYS HARBOR
414785,8/17/2017 0:00,Marijuana Premises Check,SEATTLE,KING
412977,3/11/2016 0:00,Marijuana Premises Check,UNINCORP. AREAS,SAN JUAN
416730,8/31/2017 0:00,Marijuana Premises Check,MOXEE,YAKIMA
414569,8/15/2017 0:00,Marijuana Compliance Check-no Sale,SHORELINE,KING
412977,4/25/2016 0:00,Marijuana Premises Check,UNINCORP. AREAS,SAN JUAN
414573,8/8/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,KING
412626,1/25/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,DOUGLAS
84154,8/18/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
416399,8/31/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
416809,8/18/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
420800,8/24/2017 0:00,Marijuana Premises Check,BELLINGHAM,WHATCOM
422431,8/24/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SPOKANE
412494,8/15/2017 0:00,Marijuana Premises Check,AUBURN,KING
414491,8/10/2017 0:00,Marijuana Premises Check,COVINGTON,KING
421777,8/15/2017 0:00,Marijuana Premises Check,BELLEVUE,KING
402039,8/18/2017 0:00,Marijuana Compliance Check-no Sale,SEATTLE,KING
415083,8/23/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
416043,8/11/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,GRAYS HARBOR
414814,8/15/2017 0:00,Marijuana Premises Check,SHORELINE,KING
415470,8/17/2017 0:00,Marijuana Premises Check,BELLINGHAM,WHATCOM
86054,6/8/2017 0:00,Marijuana Premises Check,MOSES LAKE,GRANT
422010,8/23/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,WHATCOM
79013,8/1/2017 0:00,Marijuana Premises Check,SEATTLE,KING
416281,8/10/2017 0:00,Marijuana Premises Check,MOXEE,YAKIMA
413530,8/15/2017 0:00,Marijuana Premises Check,WINTHROP,OKANOGAN
413427,8/29/2017 0:00,Marijuana Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
412548,10/26/2015 0:00,Marijuana Premises Check,BATTLE GROUND,CLARK
412891,8/23/2017 0:00,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
414462,8/18/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,CHELAN
413702,8/24/2017 0:00,Marijuana Premises Check,BELLINGHAM,WHATCOM
None,8/1/2017 0:00,Marijuana Premises Check,,
414983,8/23/2017 0:00,Marijuana Compliance Check-no Sale,BELLEVUE,KING
422710,8/4/2017 0:00,Marijuana Premises Check,PORT ANGELES,CLALLAM
416300,8/28/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,BENTON
414532,8/18/2017 0:00,Marijuana Compliance Check-no Sale,SEATTLE,KING
415333,8/16/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,KING
414277,8/30/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,KITSAP
415507,8/16/2017 0:00,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,SNOHOMISH
414533,8/5/2017 0:00,Marijuana Premises Check,SEATTLE,KING
421507,8/15/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
412891,8/3/2017 0:00,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
413930,8/8/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,CLALLAM
420793,8/17/2017 0:00,Marijuana Compliance Check-no Sale,SEATTLE,KING
413596,8/1/2017 0:00,Marijuana Premises Check,UNION GAP,YAKIMA
423542,8/16/2017 0:00,Marijuana Premises Check,WENATCHEE,CHELAN
421069,8/8/2017 0:00,Marijuana Premises Check,OLYMPIA,THURSTON
417114,8/11/2017 0:00,Marijuana Premises Check,PULLMAN,WHITMAN
412666,8/10/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,BENTON
412053,8/8/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,LINCOLN
414680,7/14/2017 0:00,Marijuana Compliance Check-no Sale,EVERETT,SNOHOMISH
420819,8/17/2017 0:00,Marijuana Premises Check,SEATTLE,KING
414573,8/16/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,KING
412921,8/8/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,CLALLAM
415853,8/15/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,KING
415229,8/27/2017 0:00,Marijuana Premises Check,PORT ORCHARD,KITSAP
414740,8/30/2017 0:00,Marijuana Premises Check,OMAK,OKANOGAN
412969,8/28/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,DOUGLAS
414569,8/1/2017 0:00,Marijuana Premises Check,SHORELINE,KING
417149,8/14/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,FRANKLIN
413407,8/24/2017 0:00,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,MASON
423492,8/17/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
422350,8/2/2017 0:00,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
416598,8/10/2017 0:00,Marijuana Premises Check,MOXEE,YAKIMA
412977,4/12/2016 0:00,Marijuana Premises Check,UNINCORP. AREAS,SAN JUAN
413843,8/14/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,KITSAP
416609,8/14/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,CHELAN
414735,8/8/2017 0:00,Marijuana Premises Check,PORT ANGELES,CLALLAM
415032,8/8/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,SKAGIT
415486,8/3/2017 0:00,Marijuana Premises Check,REDMOND,KING
415486,8/3/2017 0:00,Marijuana Premises Check,REDMOND,KING
